subject_id	predicate_id	object_id	mondo_id	mondo_label	mondo_predicate_id	mapping_justification	gard_mondo_mapping_type
GARD:0000231	oboInOwl:hasDbXref	MONDO:0800448	MONDO:0800448	leukoencephalopathy with vanishing white matter		semapv:ManualMappingCuration	direct_existing
GARD:0000718	oboInOwl:hasDbXref	MONDO:0022464	MONDO:0022464	obsolete anophthalmia microcephaly hypogonadism		semapv:ManualMappingCuration	direct_existing
GARD:0000733	oboInOwl:hasDbXref	MONDO:0023141	MONDO:0023141	obsolete antihypertensive drugs antenatal exposure syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000775	oboInOwl:hasDbXref	MONDO:0022495	MONDO:0022495	obsolete arthritis short stature deafness		semapv:ManualMappingCuration	direct_existing
GARD:1	oboInOwl:hasDbXref	MONDO:0011308	MONDO:0011308	GRACILE syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10000	oboInOwl:hasDbXref	MONDO:0011801	MONDO:0011801	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1		semapv:ManualMappingCuration	direct_existing
GARD:10001	oboInOwl:hasDbXref	MONDO:0008964	MONDO:0008964	congenital secretory chloride diarrhea 1		semapv:ManualMappingCuration	direct_existing
GARD:10005	oboInOwl:hasDbXref	MONDO:0019490	MONDO:0019490	progressive familial heart block		semapv:ManualMappingCuration	direct_existing
GARD:10007	oboInOwl:hasDbXref	MONDO:0010296	MONDO:0010296	immunodeficiency 61		semapv:ManualMappingCuration	direct_existing
GARD:10009	oboInOwl:hasDbXref	MONDO:0015247	MONDO:0015247	opsoclonus-myoclonus syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10010	oboInOwl:hasDbXref	MONDO:0007548	MONDO:0007548	transient bullous dermolysis of the newborn		semapv:ManualMappingCuration	direct_existing
GARD:10011	oboInOwl:hasDbXref	MONDO:0012508	MONDO:0012508	agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10012	oboInOwl:hasDbXref	MONDO:0012504	MONDO:0012504	camptodactyly-tall stature-scoliosis-hearing loss syndrome		semapv:ManualMappingCuration	direct_existing
GARD:10014	oboInOwl:hasDbXref	MONDO:0019975	MONDO:0019975	pellagra		semapv:ManualMappingCuration	direct_existing
GARD:10018	oboInOwl:hasDbXref	MONDO:0005321	MONDO:0005321	Fuchs' endothelial dystrophy		semapv:ManualMappingCuration	direct_existing
GARD:1002	oboInOwl:hasDbXref	MONDO:0010539	MONDO:0010539	X-linked mandibulofacial dysostosis		semapv:ManualMappingCuration	direct_existing
GARD:10023	oboInOwl:hasDbXref	MONDO:0012217	MONDO:0012217	Bruck syndrome 2		semapv:ManualMappingCuration	direct_existing
