subject_id	predicate_id	object_id	mondo_id	mondo_label	mondo_predicate_id	mapping_justification	gard_mondo_mapping_type
GARD:0000001	oboInOwl:hasDbXref	MONDO:0011308	MONDO:0011308	GRACILE syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000003	oboInOwl:hasDbXref	MONDO:0008693	MONDO:0008693	ablepharon macrostomia syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000004	oboInOwl:hasDbXref	MONDO:0005731	MONDO:0005731	dipetalonemiasis		semapv:ManualMappingCuration	direct_existing
GARD:0000005	oboInOwl:hasDbXref	MONDO:0008692	MONDO:0008692	abetalipoproteinemia		semapv:ManualMappingCuration	direct_existing
GARD:0000006	oboInOwl:hasDbXref	MONDO:0019696	MONDO:0019696	acromesomelic dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:0000007	oboInOwl:hasDbXref	MONDO:0007055	MONDO:0007055	acromicric dysplasia		semapv:ManualMappingCuration	direct_existing
GARD:0000008	oboInOwl:hasDbXref	MONDO:0005638	MONDO:0005638	agnosia		semapv:ManualMappingCuration	direct_existing
GARD:0000011	oboInOwl:hasDbXref	MONDO:0016241	MONDO:0016241	alternating hemiplegia of childhood		semapv:ManualMappingCuration	direct_existing
GARD:0000012	oboInOwl:hasDbXref	MONDO:0017853	MONDO:0017853	hypersensitivity pneumonitis		semapv:ManualMappingCuration	direct_existing
GARD:0000013	oboInOwl:hasDbXref	MONDO:0008795	MONDO:0008795	aniridia-cerebellar ataxia-intellectual disability syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000016	oboInOwl:hasDbXref	MONDO:0009764	MONDO:0009764	ocular motor apraxia, Cogan type		semapv:ManualMappingCuration	direct_existing
GARD:0000017	oboInOwl:hasDbXref	MONDO:0008813	MONDO:0008813	arachnoid cyst		semapv:ManualMappingCuration	direct_existing
GARD:0000019	oboInOwl:hasDbXref	MONDO:0010130	MONDO:0010130	dihydropyrimidine dehydrogenase deficiency		semapv:ManualMappingCuration	direct_existing
GARD:0000022	oboInOwl:hasDbXref	MONDO:0009872	MONDO:0009872	Bjornstad syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000023	oboInOwl:hasDbXref	MONDO:0007201	MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000026	oboInOwl:hasDbXref	MONDO:0007276	MONDO:0007276	cat-eye syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000027	oboInOwl:hasDbXref	MONDO:0005692	MONDO:0005692	cat-scratch disease		semapv:ManualMappingCuration	direct_existing
GARD:0000028	oboInOwl:hasDbXref	MONDO:0014507	MONDO:0014507	Catel-Manzke syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000029	oboInOwl:hasDbXref	MONDO:0008965	MONDO:0008965	CHARGE syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000030	oboInOwl:hasDbXref	MONDO:0002155	MONDO:0002155	cholecystitis		semapv:ManualMappingCuration	direct_existing
GARD:0000031	oboInOwl:hasDbXref	MONDO:0018152	MONDO:0018152	serpiginous choroiditis		semapv:ManualMappingCuration	direct_existing
GARD:0000035	oboInOwl:hasDbXref	MONDO:0013668	MONDO:0013668	tetrasomy 18p		semapv:ManualMappingCuration	direct_existing
GARD:0000037	oboInOwl:hasDbXref	MONDO:0013424	MONDO:0013424	3p- syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000039	oboInOwl:hasDbXref	MONDO:0008688	MONDO:0008688	WT limb-blood syndrome		semapv:ManualMappingCuration	direct_existing
GARD:0000042	oboInOwl:hasDbXref	MONDO:0018030	MONDO:0018030	tetrasomy 9p		semapv:ManualMappingCuration	direct_existing
