subject_id	predicate_id	object_id	mondo_id	mondo_label	gard_mondo_mapping_type
GARD:0000001			MONDO:0011308	GRACILE syndrome	direct_existing
GARD:0000003			MONDO:0008693	ablepharon macrostomia syndrome	direct_existing
GARD:0000004			MONDO:0005731	dipetalonemiasis	direct_existing
GARD:0000005			MONDO:0008692	abetalipoproteinemia	direct_existing
GARD:0000006			MONDO:0019696	acromesomelic dysplasia	direct_existing
GARD:0000007			MONDO:0007055	acromicric dysplasia	direct_existing
GARD:0000008			MONDO:0005638	agnosia	direct_existing
GARD:0000011			MONDO:0016241	alternating hemiplegia of childhood	direct_existing
GARD:0000012			MONDO:0017853	hypersensitivity pneumonitis	direct_existing
GARD:0000013			MONDO:0008795	aniridia-cerebellar ataxia-intellectual disability syndrome	direct_existing
GARD:0000016			MONDO:0009764	ocular motor apraxia, Cogan type	direct_existing
GARD:0000017			MONDO:0008813	arachnoid cyst	direct_existing
GARD:0000019			MONDO:0010130	dihydropyrimidine dehydrogenase deficiency	direct_existing
GARD:0000022			MONDO:0009872	Bjornstad syndrome	direct_existing
GARD:0000023			MONDO:0007201	blepharophimosis, ptosis, and epicanthus inversus syndrome	direct_existing
GARD:0000026			MONDO:0007276	cat-eye syndrome	direct_existing
GARD:0000027			MONDO:0005692	cat-scratch disease	direct_existing
GARD:0000028			MONDO:0014507	Catel-Manzke syndrome	direct_existing
GARD:0000029			MONDO:0008965	CHARGE syndrome	direct_existing
GARD:0000030			MONDO:0002155	cholecystitis	direct_existing
GARD:0000031			MONDO:0018152	serpiginous choroiditis	direct_existing
GARD:0000035			MONDO:0013668	tetrasomy 18p	direct_existing
GARD:0000037			MONDO:0013424	3p- syndrome	direct_existing
GARD:0000039			MONDO:0008688	WT limb-blood syndrome	direct_existing
GARD:0000042			MONDO:0018030	tetrasomy 9p	direct_existing
GARD:0000043			MONDO:0020490	mosaic trisomy 9	direct_existing
GARD:0000044			MONDO:0009491	Haim-Munk syndrome	direct_existing
GARD:0000045			MONDO:0017372	congenital varicella syndrome	direct_existing
GARD:0000046			MONDO:0022308	corticobasal degeneration disorder	direct_existing
GARD:0000047			MONDO:0021020	Crigler-Najjar syndrome type 1	direct_existing
GARD:0000048			MONDO:0009068	cytochrome-c oxidase deficiency disease	direct_existing
GARD:0000049			MONDO:0017569	de Barsy syndrome	direct_existing
GARD:0000054			MONDO:0009126	duodenal atresia	direct_existing
GARD:0000059			MONDO:0007574	spinocerebellar ataxia type 34	direct_existing
GARD:0000060			MONDO:0018988	iridocorneal endothelial syndrome	direct_existing
GARD:0000061			MONDO:0007604	femoral-facial syndrome	direct_existing
GARD:0000062			MONDO:0010092	Filippi syndrome	direct_existing
GARD:0000064			MONDO:0009241	fountain syndrome	direct_existing
GARD:0000065			MONDO:0009627	Galloway-Mowat syndrome	direct_existing
GARD:0000066			MONDO:0012853	Fontaine progeroid syndrome	direct_existing
GARD:0000067			MONDO:0000608	familial juvenile hyperuricemic nephropathy	direct_existing
GARD:0000068			MONDO:0007073	hypoglossia-hypodactyly syndrome	direct_existing
GARD:0000069			MONDO:0017879	hantavirus pulmonary syndrome	direct_existing
GARD:0000070			MONDO:0007708	Kasabach-Merritt syndrome	direct_existing
GARD:0000071			MONDO:0005118	human granulocytic ehrlichiosis	direct_existing
GARD:0000072			MONDO:0000225	human monocytic ehrlichiosis	direct_existing
GARD:0000073			MONDO:0010626	hyper-IgM syndrome type 1	direct_existing
GARD:0000076			MONDO:0016535	hypohidrotic ectodermal dysplasia	direct_existing
GARD:0000079			MONDO:0007982	metaphyseal chondrodysplasia, Jansen type	direct_existing
GARD:0000080			MONDO:0009479	Johanson-Blizzard syndrome	direct_existing
GARD:0000081			MONDO:0010663	intellectual disability-hypotonic facies syndrome, X-linked, 1	direct_existing
GARD:0000082			MONDO:0007846	KBG syndrome	direct_existing
GARD:0000083			MONDO:0007478	autosomal dominant Kenny-Caffey syndrome	direct_existing
GARD:0000084			MONDO:0012071	congenital generalized lipodystrophy type 1	direct_existing
GARD:0000085			MONDO:0017042	thanatophoric dysplasia	direct_existing
GARD:0000086			MONDO:0011411	Chudley-McCullough syndrome	direct_existing
GARD:0000087			MONDO:0018924	microphthalmia, Lenz type	direct_existing
GARD:0000088			MONDO:0007894	Leri pleonosteosis	direct_existing
GARD:0000089			MONDO:0042493	gastric non-hodgkin lymphoma	direct_existing
GARD:0000091			MONDO:0042494	childhood malignant melanoma	direct_existing
GARD:0000092			MONDO:0009552	mal de Meleda	direct_existing
GARD:0000093			MONDO:0008009	monilethrix	direct_existing
GARD:0000094			MONDO:0009653	mucolipidosis type IV	direct_existing
GARD:0000095			MONDO:0009664	mulibrey nanism	direct_existing
GARD:0000098			MONDO:0018940	congenital myasthenic syndrome	direct_existing
GARD:0000101			MONDO:0018947	centronuclear myopathy	direct_existing
GARD:0000102			MONDO:0000179	Neu-Laxova syndrome	direct_existing
GARD:0000104			MONDO:0000463	Ochoa syndrome	direct_existing
GARD:0000105			MONDO:0009767	oculocerebral hypopigmentation syndrome, Cross type	direct_existing
GARD:0000106			MONDO:0008108	oculocerebrocutaneous syndrome	direct_existing
GARD:0000107			MONDO:0019122	idiopathic acute eosinophilic pneumonia	direct_existing
GARD:0000108			MONDO:0009897	adult polyglucosan body disease	direct_existing
GARD:0000109			MONDO:0008153	progressive osseous heteroplasia	direct_existing
GARD:0000111			MONDO:0018955	recurrent respiratory papillomatosis	direct_existing
GARD:0000112			MONDO:0009971	respiratory distress syndrome in premature infants	direct_existing
GARD:0000112			MONDO:0700081	newborn respiratory distress syndrome	direct_existing
GARD:0000113			MONDO:0042495	arteriosclerotic retinopathy	direct_existing
GARD:0000114			MONDO:0010699	Charcot-Marie-Tooth disease X-linked recessive 5	direct_existing
GARD:0000115			MONDO:0007040	Sakati-Nyhan syndrome	direct_existing
GARD:0000116			MONDO:0012221	alpha-N-acetylgalactosaminidase deficiency type 1	direct_existing
GARD:0000117			MONDO:0010010	Schinzel-Giedion syndrome	direct_existing
GARD:0000118			MONDO:0008411	ulnar-mammary syndrome	direct_existing
GARD:0000120			MONDO:0000332	sennetsu fever	direct_existing
GARD:0000121			MONDO:0009203	focal facial dermal dysplasia type III	direct_existing
GARD:0000122			MONDO:0008429	Singleton-Merten dysplasia	direct_existing
GARD:0000124			MONDO:0022414	allain-babin-demarquez syndrome	direct_existing
GARD:0000125			MONDO:0007047	punctate palmoplantar keratoderma type III	direct_existing
GARD:0000127			MONDO:0010090	Summitt syndrome	direct_existing
GARD:0000130			MONDO:0023165	florid cystic endosalpingiosis of the uterus	direct_existing
GARD:0000132			MONDO:0015301	primary cutaneous amyloidosis	direct_existing
GARD:0000133			MONDO:0007047	punctate palmoplantar keratoderma type III	direct_existing
GARD:0000134			MONDO:0008476	spondyloepimetaphyseal dysplasia, Strudwick type	direct_existing
GARD:0000136			MONDO:0009098	dextrocardia with unusual facies and microphthalmia	direct_existing
GARD:0000137			MONDO:0022930	Dandy-Walker malformation with nasopharyngeal teratoma and diaphragmatic hernia	direct_existing
GARD:0000139			MONDO:0009719	familial atrial myxoma	direct_existing
GARD:0000140			MONDO:0009476	atresia of small intestine	direct_existing
GARD:0000143			MONDO:0007693	hypertrichosis cubiti-short stature syndrome	direct_existing
GARD:0000144			MONDO:0009543	prominent glabella-microcephaly-hypogenitalism syndrome	direct_existing
GARD:0000147			MONDO:0007923	macrocephaly, benign familial	direct_existing
GARD:0000148			MONDO:0009544	macrocephaly/megalencephaly syndrome, autosomal recessive	direct_existing
GARD:0000149			MONDO:0042705	prostatic malacoplakia associated with prostatic abscess	direct_existing
GARD:0000150			MONDO:0042600	Sammartino-Decreccio syndrome	direct_existing
GARD:0000151			MONDO:0042601	Samson-Gardner syndrome	direct_existing
GARD:0000152			MONDO:0042602	Samson-Viljoen syndrome	direct_existing
GARD:0000153			MONDO:0042603	Sanderson-Fraser syndrome	direct_existing
GARD:0000154			MONDO:0042604	Sandhaus-Ben-Ami syndrome	direct_existing
GARD:0000155			MONDO:0007615	laurin-Sandrow syndrome	direct_existing
GARD:0000156			MONDO:0018939	muscle-eye-brain disease	direct_existing
GARD:0000157			MONDO:0009342	Hirschsprung disease-hearing loss-polydactyly syndrome	direct_existing
GARD:0000158			MONDO:0010008	sarcosinemia	direct_existing
GARD:0000159			MONDO:0008404	scalp-ear-nipple syndrome	direct_existing
GARD:0000160			MONDO:0010922	Satoyoshi syndrome	direct_existing
GARD:0000161			MONDO:0042717	Saul-Wilkes-Stevenson syndrome	direct_existing
GARD:0000162			MONDO:0008402	cleft palate-large ears-small head syndrome	direct_existing
GARD:0000166			MONDO:0010011	schizencephaly	direct_existing
GARD:0000166			MONDO:0018829	familial schizencephaly	direct_existing
GARD:0000169			MONDO:0010013	schneckenbecken dysplasia	direct_existing
GARD:0000170			MONDO:0023663	obsolete macrocephaly mesodermal hamartoma spectrum	direct_existing
GARD:0000171			MONDO:0023609	le Marec-Bracq-Picaud syndrome	direct_existing
GARD:0000172			MONDO:0042724	macrocephaly, intellectual disability, short stature, spastic paraplegia and cns malformations	direct_existing
GARD:0000173			MONDO:0009545	macroepiphyseal dysplasia with osteoporosis, wrinkled skin, and aged appearance	direct_existing
GARD:0000174			MONDO:0042726	macrogyria, pseudobulbar palsy and intellectual disability	direct_existing
GARD:0000175			MONDO:0010027	free sialic acid storage disease, infantile form	direct_existing
GARD:0000176			MONDO:0018942	macrophagic myofasciitis	direct_existing
GARD:0000177			MONDO:0009547	macrosomia-microphthalmia-cleft palate syndrome	direct_existing
GARD:0000178			MONDO:0008008	MOMO syndrome	direct_existing
GARD:0000179			MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	direct_existing
GARD:0000180			MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	direct_existing
GARD:0000181			MONDO:0019353	Stargardt disease	direct_existing
GARD:0000182			MONDO:0007931	vitelliform macular dystrophy 2	direct_existing
GARD:0000183			MONDO:0001112	bubonic plague	direct_existing
GARD:0000184			MONDO:0007921	yellow nail syndrome	direct_existing
GARD:0000185			MONDO:0042605	Y chromosome infertility due to DAZ1 deletion	direct_existing
GARD:0000188			MONDO:0010457	Ogden syndrome	direct_existing
GARD:0000189			MONDO:0023059	Elliott ludman Teebi syndrome	direct_existing
GARD:0000191			MONDO:0023540	Kashani-Strom-Utley syndrome	direct_existing
GARD:0000192			MONDO:0015324	cataract-intellectual disability-anal atresia-urinary defects syndrome	direct_existing
GARD:0000193			MONDO:0017138	Opitz G/BBB syndrome	direct_existing
GARD:0000194			MONDO:0013166	GABA aminotransaminase deficiency	direct_existing
GARD:0000195			MONDO:0008224	hyperkalemic periodic paralysis	direct_existing
GARD:0000196			MONDO:0042496	ergotism	direct_existing
GARD:0000198			MONDO:0009672	spinal muscular atrophy, type III	direct_existing
GARD:0000199			MONDO:0022644	cardiac hydatid cysts with intracavitary expansion	direct_existing
GARD:0000200			MONDO:0018616	central serous chorioretinopathy	direct_existing
GARD:0000201			MONDO:0007198	Ascher syndrome	direct_existing
GARD:0000203			MONDO:0022901	Crohn disease of the esophagus	direct_existing
GARD:0000204			MONDO:0022983	Dieterich disease	direct_existing
GARD:0000206			MONDO:0019005	nephronophthisis	direct_existing
GARD:0000207			MONDO:0017282	alveolar echinococcosis	direct_existing
GARD:0000208			MONDO:0023238	giant mammary hamartoma	direct_existing
GARD:0000210			MONDO:0042498	Ruzicka-Goerz-Anton syndrome	direct_existing
GARD:0000212			MONDO:0008396	oculodental syndrome, Rutherfurd type	direct_existing
GARD:0000213			MONDO:0015944	axial mesodermal dysplasia spectrum	direct_existing
GARD:0000215			MONDO:0010831	familial caudal dysgenesis	direct_existing
GARD:0000216			MONDO:0011262	camptodactyly, myopia, and fibrosis of the medial rectus muscle of eye	direct_existing
GARD:0000217			MONDO:0009602	metaphyseal modeling abnormality, skin lesions, and spastic paraplegia	direct_existing
GARD:0000218			MONDO:0009379	Rotor syndrome	direct_existing
GARD:0000219			MONDO:0018960	congenital primary megaureter	direct_existing
GARD:0000220			MONDO:0018920	peripartum cardiomyopathy	direct_existing
GARD:0000221			MONDO:0016333	familial dilated cardiomyopathy	direct_existing
GARD:0000223			MONDO:0001569	acoustic neuroma	direct_existing
GARD:0000224			MONDO:0008359	radio-renal syndrome	direct_existing
GARD:0000225			MONDO:0019671	radial hemimelia	direct_existing
GARD:0000226			MONDO:0009874	Rabson-Mendenhall syndrome	direct_existing
GARD:0000229			MONDO:0011157	Gomez-Lopez-Hernandez syndrome	direct_existing
GARD:0000230			MONDO:0007991	microcephaly-deafness-intellectual disability syndrome	direct_existing
GARD:0000231			MONDO:0011380	leukoencephalopathy with vanishing white matter	direct_existing
GARD:0000232			MONDO:0015268	medullary sponge kidney	direct_existing
GARD:0000233			MONDO:0022921	obsolete short stature-microcephaly-heart defect syndrome	direct_existing
GARD:0000234			MONDO:0009070	D-glyceric aciduria	direct_existing
GARD:0000236			MONDO:0016350	hydrocephalus-blue sclerae-nephropathy syndrome	direct_existing
GARD:0000237			MONDO:0009533	Dahlberg-Borer-Newcomer syndrome	direct_existing
GARD:0000238			MONDO:0008118	odontomatosis-aortae esophagus stenosis syndrome	direct_existing
GARD:0000239			MONDO:0009620	Say-Barber-Miller syndrome	direct_existing
GARD:0000240			MONDO:0042902	Say-Carpenter syndrome	direct_existing
GARD:0000241			MONDO:0008403	scalp defects-postaxial polydactyly syndrome	direct_existing
GARD:0000242			MONDO:0008606	Say-field-Coldwell syndrome	direct_existing
GARD:0000243			MONDO:0010749	trigonocephaly-short stature-developmental delay syndrome	direct_existing
GARD:0000246			MONDO:0018976	schisis association	direct_existing
GARD:0000247			MONDO:0010728	SCARF syndrome	direct_existing
GARD:0000248			MONDO:0015325	cataract-deafness-hypogonadism syndrome	direct_existing
GARD:0000249			MONDO:0021021	craniodiaphyseal dysplasia, autosomal dominant	direct_existing
GARD:0000250			MONDO:0009717	Schwartz-Jampel syndrome	direct_existing
GARD:0000253			MONDO:0042911	Schwartz-Cohen-addad-Lambert syndrome	direct_existing
GARD:0000255			MONDO:0042912	Schlegelberger-Grote syndrome	direct_existing
GARD:0000256			MONDO:0042913	Schrander-stumpel-Theunissen-Hulsmans syndrome	direct_existing
GARD:0000257			MONDO:0010505	intellectual disability-balding-patella luxation-acromicria syndrome	direct_existing
GARD:0000258			MONDO:0008357	radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome	direct_existing
GARD:0000259			MONDO:0009099	nephrogenic diabetes insipidus-intracranial calcification syndrome	direct_existing
GARD:0000262			MONDO:0010794	NARP syndrome	direct_existing
