# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
object_id	subject_id	predicate_id	proxy_id	object_label
ID	A oboInOwl:hasDbXref	>A oboInOwl:source	>A oboInOwl:source	
MONDO:0000023	GARD:17820	MONDO:equivalentTo	Orphanet:464724	infantile liver failure
MONDO:0000044	GARD:6735	MONDO:equivalentTo	Orphanet:437	hereditary hypophosphatemic rickets
MONDO:0000050	GARD:12556	MONDO:equivalentTo	Orphanet:631	isolated congenital growth hormone deficiency
MONDO:0000087	GARD:18818	MONDO:equivalentTo	Orphanet:35981	polymicrogyria
MONDO:0000088	GARD:7446	MONDO:equivalentTo	Orphanet:95708	precocious puberty
MONDO:0000107	GARD:9798	MONDO:equivalentTo	Orphanet:137888	auriculocondylar syndrome
MONDO:0000110	GARD:884	MONDO:equivalentTo	Orphanet:2695	bifid nose
MONDO:0000127	GARD:2449	MONDO:equivalentTo	Orphanet:2623	geleophysic dysplasia
MONDO:0000133	GARD:2945	MONDO:equivalentTo	Orphanet:2268	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000136	GARD:6829	MONDO:equivalentTo	Orphanet:2340	keratosis follicularis spinulosa decalvans
MONDO:0000141	GARD:3007	MONDO:equivalentTo	Orphanet:1052	mosaic variegated aneuploidy syndrome
MONDO:0000153	GARD:7795	MONDO:equivalentTo	Orphanet:216675	transposition of the great arteries
MONDO:0000170	GARD:3644	MONDO:equivalentTo	Orphanet:98938	microphthalmia, isolated, with coloboma
MONDO:0000171	GARD:2599	MONDO:equivalentTo	Orphanet:899	muscular dystrophy-dystroglycanopathy, type A
MONDO:0000179	GARD:102	MONDO:equivalentTo	Orphanet:2671	Neu-Laxova syndrome
MONDO:0000193	GARD:9882	MONDO:equivalentTo	Orphanet:168588	cortisone reductase deficiency
MONDO:0000200	GARD:385	MONDO:equivalentTo	Orphanet:3473	Zimmermann-Laband syndrome
MONDO:0000208	GARD:18459	MONDO:equivalentTo	OMIM:616033	microcephaly, short stature, and impaired glucose metabolism 1
MONDO:0000209	GARD:17882	MONDO:equivalentTo	Orphanet:486811	prenatal-onset spinal muscular atrophy with congenital bone fractures
MONDO:0000211	GARD:17146	MONDO:equivalentTo	Orphanet:228169	striatal degeneration, autosomal dominant
MONDO:0000212	GARD:17374	MONDO:equivalentTo	Orphanet:300547	hypercalcemia, infantile
MONDO:0000330	GARD:19033	MONDO:equivalentTo	Orphanet:83315	endemic typhus
MONDO:0000355	GARD:4769	MONDO:equivalentTo	Orphanet:75840	Ullrich congenital muscular dystrophy
MONDO:0000437	GARD:19816	MONDO:equivalentTo	Orphanet:102002	cerebellar ataxia
MONDO:0000447	GARD:9457	MONDO:equivalentTo	Orphanet:2924	autosomal dominant polycystic liver disease
MONDO:0000453	GARD:16650	MONDO:equivalentTo	Orphanet:51083	short QT syndrome
MONDO:0000455	GARD:11897	MONDO:equivalentTo	Orphanet:1871	cone dystrophy
MONDO:0000456	GARD:18952	MONDO:equivalentTo	Orphanet:79172	cerebral creatine deficiency syndrome
MONDO:0000463	GARD:104	MONDO:equivalentTo	Orphanet:2704	Ochoa syndrome
MONDO:0000476	GARD:21618	MONDO:equivalentTo	Orphanet:376724	generalized dystonia
MONDO:0000507	GARD:10899	MONDO:equivalentTo	Orphanet:52430	inclusion body myopathy with Paget disease of bone and frontotemporal dementia
MONDO:0000565	GARD:6337	MONDO:equivalentTo	Orphanet:570762	infective endocarditis
MONDO:0000645	GARD:20203	MONDO:equivalentTo	Orphanet:180237	fallopian tube benign neoplasm
MONDO:0000688	GARD:9433	MONDO:equivalentTo	Orphanet:289899	inborn organic aciduria
MONDO:0000736	GARD:1996	MONDO:equivalentTo	Orphanet:241	dyschromatosis universalis hereditaria
MONDO:0000754	GARD:20568	MONDO:equivalentTo	Orphanet:228113	anal fistula
MONDO:0000827	GARD:18704	MONDO:equivalentTo	Orphanet:795	salmonellosis
MONDO:0000845	GARD:6444	MONDO:equivalentTo	Orphanet:249	fibrous dysplasia
MONDO:0000863	GARD:3885	MONDO:equivalentTo	Orphanet:2598	myopathy, lactic acidosis, and sideroblastic anemia
MONDO:0000902	GARD:1537	MONDO:equivalentTo	Orphanet:1496	agenesis of the corpus callosum with peripheral neuropathy
MONDO:0000903	GARD:7139	MONDO:equivalentTo	Orphanet:36899	myoclonus-dystonia syndrome
MONDO:0000909	GARD:15612	MONDO:equivalentTo	OMIM:613090	Bartter disease type 4B
MONDO:0000910	GARD:10377	MONDO:equivalentTo	OMIM:312612	retinitis pigmentosa 6
MONDO:0000912	GARD:22585	MONDO:equivalentTo	OMIM:600792	autosomal recessive nonsyndromic hearing loss 5
MONDO:0000913	GARD:16149	MONDO:equivalentTo	OMIM:616649	hereditary spherocytosis type 2
MONDO:0000914	GARD:1049	MONDO:equivalentTo	Orphanet:136	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1
MONDO:0000995	GARD:21613	MONDO:equivalentTo	Orphanet:371433	familial periodic paralysis
MONDO:0001032	GARD:22132	MONDO:equivalentTo	Orphanet:519408	Mooren ulcer
MONDO:0001195	GARD:19828	MONDO:equivalentTo	Orphanet:102022	spotted fever
MONDO:0001246	GARD:19829	MONDO:equivalentTo	Orphanet:102023	typhus
MONDO:0001280	GARD:4457	MONDO:equivalentTo	Orphanet:280892	choroiditis
MONDO:0001309	GARD:19544	MONDO:equivalentTo	Orphanet:98685	oculomotor nerve paralysis
MONDO:0001325	GARD:9366	MONDO:equivalentTo	Orphanet:398043	penile cancer
MONDO:0001347	GARD:9941	MONDO:equivalentTo	Orphanet:269	facioscapulohumeral muscular dystrophy
MONDO:0001444	GARD:18795	MONDO:equivalentTo	Orphanet:3386	Chagas disease
MONDO:0001549	GARD:22233	MONDO:equivalentTo	Orphanet:544458	hemolytic-uremic syndrome
MONDO:0001569	GARD:223	MONDO:equivalentTo	Orphanet:252175	acoustic neuroma
MONDO:0001586	GARD:10335	MONDO:equivalentTo	Orphanet:579	mucopolysaccharidosis type 1
MONDO:0001595	GARD:1305	MONDO:equivalentTo	Orphanet:1429	choreatic disease
MONDO:0001703	GARD:19537	MONDO:equivalentTo	Orphanet:98658	color vision disorder
MONDO:0001713	GARD:18889	MONDO:equivalentTo	Orphanet:68383	inherited aplastic anemia
MONDO:0001734	GARD:7830	MONDO:equivalentTo	Orphanet:805	tuberous sclerosis
MONDO:0001881	GARD:9560	MONDO:equivalentTo	Orphanet:36234	toxic shock syndrome
MONDO:0001945	GARD:19370	MONDO:equivalentTo	Orphanet:97349	postencephalitic Parkinson disease
MONDO:0001956	GARD:1084	MONDO:equivalentTo	Orphanet:188	capillary leak syndrome
MONDO:0001971	GARD:6427	MONDO:equivalentTo	Orphanet:99906	farmer's lung disease
MONDO:0002013	GARD:9789	MONDO:equivalentTo	Orphanet:2415	lymphangioma
MONDO:0002096	GARD:10744	MONDO:equivalentTo	Orphanet:617910	malignant conjunctival melanoma
MONDO:0002142	GARD:6963	MONDO:equivalentTo	Orphanet:2023	undifferentiated pleomorphic sarcoma
MONDO:0002145	GARD:19147	MONDO:equivalentTo	Orphanet:90771	disorder of sexual differentiation
MONDO:0002158	GARD:20204	MONDO:equivalentTo	Orphanet:180242	fallopian tube cancer
MONDO:0002303	GARD:21734	MONDO:equivalentTo	Orphanet:411527	central retinal vein occlusion
MONDO:0002412	GARD:18973	MONDO:equivalentTo	Orphanet:79201	disorder of glycogen metabolism
MONDO:0002413	GARD:16523	MONDO:equivalentTo	Orphanet:364	glycogen storage disease I
MONDO:0002422	GARD:16660	MONDO:equivalentTo	Orphanet:55881	adamantinoma
MONDO:0002429	GARD:13337	MONDO:equivalentTo	Orphanet:98300	idiopathic interstitial pneumonia
MONDO:0002441	GARD:3048	MONDO:equivalentTo	Orphanet:90647	Jervell and Lange-Nielsen syndrome
MONDO:0002457	GARD:9124	MONDO:equivalentTo	Orphanet:861	Treacher-Collins syndrome
MONDO:0002474	GARD:16530	MONDO:equivalentTo	Orphanet:416	primary hyperoxaluria
MONDO:0002520	GARD:19255	MONDO:equivalentTo	Orphanet:95157	hepatic porphyria
MONDO:0002525	GARD:21314	MONDO:equivalentTo	Orphanet:309005	inherited lipid metabolism disorder
MONDO:0002546	GARD:4767	MONDO:equivalentTo	Orphanet:252164	schwannoma
MONDO:0002561	GARD:18884	MONDO:equivalentTo	Orphanet:68366	lysosomal storage disease
MONDO:0002571	GARD:9318	MONDO:equivalentTo	Orphanet:46135	primary central nervous system lymphoma
MONDO:0002588	GARD:20892	MONDO:equivalentTo	Orphanet:263310	thymoma type A
MONDO:0002629	GARD:7284	MONDO:equivalentTo	Orphanet:668	bone osteosarcoma
MONDO:0002653	GARD:21638	MONDO:equivalentTo	Orphanet:398053	Paget disease of the penis
MONDO:0002684	GARD:20723	MONDO:equivalentTo	Orphanet:251902	atypical choroid plexus papilloma
MONDO:0002687	GARD:7712	MONDO:equivalentTo	Orphanet:622099	superior mesenteric artery syndrome
MONDO:0002697	GARD:17100	MONDO:equivalentTo	Orphanet:206484	ovarian gonadoblastoma
MONDO:0002718	GARD:20735	MONDO:equivalentTo	Orphanet:252018	central nervous system teratoma
MONDO:0002728	GARD:7572	MONDO:equivalentTo	Orphanet:69077	rhabdoid tumor
MONDO:0002735	GARD:21773	MONDO:equivalentTo	Orphanet:424016	anal canal adenocarcinoma
MONDO:0002752	GARD:20466	MONDO:equivalentTo	Orphanet:213504	ovarian adenocarcinoma
MONDO:0002876	GARD:20492	MONDO:equivalentTo	Orphanet:213792	cervical adenosarcoma
MONDO:0002877	GARD:20491	MONDO:equivalentTo	Orphanet:213787	cervical carcinosarcoma
MONDO:0002878	GARD:20473	MONDO:equivalentTo	Orphanet:213600	uterine corpus adenosarcoma
MONDO:0002882	GARD:19755	MONDO:equivalentTo	Orphanet:100080	colon neuroendocrine neoplasm
MONDO:0002955	GARD:22006	MONDO:equivalentTo	Orphanet:494451	vulva basal cell carcinoma
MONDO:0003010	GARD:21417	MONDO:equivalentTo	Orphanet:319287	multilocular clear cell renal cell carcinoma
MONDO:0003011	GARD:21418	MONDO:equivalentTo	Orphanet:319322	mucinous tubular and spindle renal cell carcinoma
MONDO:0003111	GARD:19750	MONDO:equivalentTo	Orphanet:100075	gastric neuroendocrine neoplasm
MONDO:0003125	GARD:21551	MONDO:equivalentTo	Orphanet:363489	testicular sex cord-stromal neoplasm
MONDO:0003144	GARD:20721	MONDO:equivalentTo	Orphanet:251883	medulloepithelioma
MONDO:0003198	GARD:19851	MONDO:equivalentTo	Orphanet:104075	small intestine adenocarcinoma
MONDO:0003266	GARD:16527	MONDO:equivalentTo	Orphanet:301	ependymal tumor
MONDO:0003345	GARD:10175	MONDO:equivalentTo	Orphanet:99978	hilar cholangiocarcinoma
MONDO:0003360	GARD:19852	MONDO:equivalentTo	Orphanet:104076	small intestine leiomyosarcoma
MONDO:0003414	GARD:22042	MONDO:equivalentTo	Orphanet:499182	skin pilomatrix carcinoma
MONDO:0003429	GARD:21389	MONDO:equivalentTo	Orphanet:314753	functioning pituitary gland adenoma
MONDO:0003582	GARD:15010	MONDO:equivalentTo	Orphanet:145	hereditary breast ovarian cancer syndrome
MONDO:0003630	GARD:21781	MONDO:equivalentTo	Orphanet:424073	pancreatic serous cystadenocarcinoma
MONDO:0003646	GARD:19756	MONDO:equivalentTo	Orphanet:100081	rectum neuroendocrine neoplasm
MONDO:0003649	GARD:22058	MONDO:equivalentTo	Orphanet:506136	esophageal neuroendocrine tumor
MONDO:0003669	GARD:4792	MONDO:equivalentTo	Orphanet:842	testicular seminoma
MONDO:0003789	GARD:13157	MONDO:equivalentTo	Orphanet:47044	hereditary papillary renal cell carcinoma
MONDO:0003792	GARD:7296	MONDO:equivalentTo	Orphanet:213512	ovarian carcinosarcoma
MONDO:0003795	GARD:10411	MONDO:equivalentTo	Orphanet:370396	ovarian small cell carcinoma
MONDO:0003832	GARD:21919	MONDO:equivalentTo	Orphanet:459345	complement deficiency
MONDO:0004069	GARD:18887	MONDO:equivalentTo	Orphanet:68380	inborn mitochondrial metabolism disorder
MONDO:0004114	GARD:11923	MONDO:equivalentTo	Orphanet:284400	urinary bladder small cell neuroendocrine carcinoma
MONDO:0004132	GARD:21774	MONDO:equivalentTo	Orphanet:424019	anal canal squamous cell carcinoma
MONDO:0004187	GARD:21959	MONDO:equivalentTo	Orphanet:477742	nodular fasciitis
MONDO:0004216	GARD:19162	MONDO:equivalentTo	Orphanet:91352	pineal region germinoma
MONDO:0004234	GARD:22072	MONDO:equivalentTo	Orphanet:512017	chronic lymphoproliferative disorder of NK-cells
MONDO:0004241	GARD:19364	MONDO:equivalentTo	Orphanet:97335	Osgood-Schlatter disease
MONDO:0004285	GARD:21779	MONDO:equivalentTo	Orphanet:424058	pancreatic intraductal papillary-mucinous carcinoma
MONDO:0004334	GARD:22054	MONDO:equivalentTo	Orphanet:506075	non-functional pancreatic neuroendocrine tumor
MONDO:0004351	GARD:21063	MONDO:equivalentTo	Orphanet:279904	intraocular lymphoma
MONDO:0004542	GARD:20500	MONDO:equivalentTo	Orphanet:213833	cervical adenosquamous carcinoma, glassy cell variant
MONDO:0004604	GARD:19593	MONDO:equivalentTo	Orphanet:98845	Hodgkin's lymphoma, lymphocytic-histiocytic predominance
MONDO:0004620	GARD:19594	MONDO:equivalentTo	Orphanet:98846	Hodgkin's lymphoma, lymphocytic depletion
MONDO:0004633	GARD:19592	MONDO:equivalentTo	Orphanet:98844	Hodgkin's lymphoma, mixed cellularity
MONDO:0004653	GARD:19583	MONDO:equivalentTo	Orphanet:98824	atypical chronic myeloid leukemia, BCR-ABL1 negative
MONDO:0004684	GARD:6873	MONDO:equivalentTo	Orphanet:199251	plantar fibromatosis
MONDO:0004691	GARD:10413	MONDO:equivalentTo	Orphanet:730	autosomal dominant polycystic kidney disease
MONDO:0004739	GARD:7837	MONDO:equivalentTo	Orphanet:79167	urea cycle disorder
MONDO:0004745	GARD:19933	MONDO:equivalentTo	Orphanet:140949	priapism
MONDO:0004907	GARD:18995	MONDO:equivalentTo	Orphanet:79364	alopecia
MONDO:0004933	GARD:6739	MONDO:equivalentTo	Orphanet:2248	hypoplastic left heart syndrome
MONDO:0004948	GARD:6104	MONDO:equivalentTo	Orphanet:67038	B-cell chronic lymphocytic leukemia
MONDO:0004952	GARD:2714	MONDO:equivalentTo	Orphanet:98293	Hodgkins lymphoma
MONDO:0004958	GARD:17932	MONDO:equivalentTo	Orphanet:502363	oral cavity squamous cell carcinoma
MONDO:0004959	GARD:19440	MONDO:equivalentTo	Orphanet:98282	plasma cell neoplasm
MONDO:0004967	GARD:522	MONDO:equivalentTo	Orphanet:513	acute lymphoblastic leukemia
MONDO:0004976	GARD:5786	MONDO:equivalentTo	Orphanet:803	amyotrophic lateral sclerosis
MONDO:0004977	GARD:11973	MONDO:equivalentTo	Orphanet:86886	angioimmunoblastic T-cell lymphoma
MONDO:0004994	GARD:20096	MONDO:equivalentTo	Orphanet:167848	cardiomyopathy
MONDO:0005005	GARD:9574	MONDO:equivalentTo	Orphanet:319276	clear cell renal carcinoma
MONDO:0005006	GARD:21905	MONDO:equivalentTo	Orphanet:457246	clear cell sarcoma of kidney
MONDO:0005021	GARD:221	MONDO:equivalentTo	Orphanet:217604	dilated cardiomyopathy
MONDO:0005028	GARD:16927	MONDO:equivalentTo	Orphanet:99976	esophageal adenocarcinoma
MONDO:0005029	GARD:6594	MONDO:equivalentTo	Orphanet:3318	essential thrombocythemia
MONDO:0005033	GARD:20731	MONDO:equivalentTo	Orphanet:251992	ganglioneuroma
MONDO:0005035	GARD:20719	MONDO:equivalentTo	Orphanet:251877	ganglioneuroblastoma
MONDO:0005045	GARD:20518	MONDO:equivalentTo	Orphanet:217569	hypertrophic cardiomyopathy
MONDO:0005048	GARD:3010	MONDO:equivalentTo	Orphanet:97279	pancreatic insulin-producing neuroendocrine tumor
