# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   Orphanet: http://www.orpha.net/ORDO/Orphanet_
#   OMIM: https://omim.org/entry/
#   OMIMPS: https://omim.org/phenotypicSeries/PS
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	subject_label	predicate_id	object_id	object_label	subject_category	object_category	object_source	mapping_justification
GARD:1	GRACILE syndrome	skos:exactMatch	Orphanet:53693	GRACILE syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:1	GRACILE syndrome	skos:narrowMatch	OMIM:603358	GRACILE syndrome	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:3	Ablepharon macrostomia syndrome	skos:exactMatch	Orphanet:920	Ablepharon macrostomia syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:3	Ablepharon macrostomia syndrome	skos:narrowMatch	OMIM:200110	Ablepharon macrostomia syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:5	Abetalipoproteinemia	skos:exactMatch	Orphanet:14	Abetalipoproteinemia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:5	Abetalipoproteinemia	skos:narrowMatch	OMIM:605019	Abetalipoproteinemia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:5	Abetalipoproteinemia	skos:narrowMatch	OMIM:200100	Abetalipoproteinemia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:5	Abetalipoproteinemia	skos:narrowMatch	OMIM:615558	Abetalipoproteinemia	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:6	Acromesomelic dysplasia	skos:exactMatch	Orphanet:93437	Acromesomelic dysplasia	Clinical group	Clinical group	Orphanet	semapv:ManualMappingCuration
GARD:7	Acromicric dysplasia	skos:exactMatch	Orphanet:969	Acromicric dysplasia	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:7	Acromicric dysplasia	skos:narrowMatch	OMIM:102370	Acromicric dysplasia	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
GARD:11	Alternating hemiplegia of childhood	skos:exactMatch	Orphanet:2131	Alternating hemiplegia of childhood	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:11	Alternating hemiplegia of childhood	skos:narrowMatch	OMIM:614820	Alternating hemiplegia of childhood	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:11	Alternating hemiplegia of childhood	skos:narrowMatch	OMIM:104290	Alternating hemiplegia of childhood	Disease	Disease	Orphanet	semapv:ManualMappingCuration
GARD:12	Hypersensitivity pneumonitis	skos:exactMatch	Orphanet:31740	Hypersensitivity pneumonitis	Clinical group	Clinical group	Orphanet	semapv:ManualMappingCuration
GARD:13	Aniridia-cerebellar ataxia-intellectual disability syndrome	skos:exactMatch	Orphanet:1065	Aniridia-cerebellar ataxia-intellectual disability syndrome	Malformation syndrome	Malformation syndrome	Orphanet	semapv:ManualMappingCuration
