# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	predicate_id	object_id	object_label	mapping_justification
GARD:10601	skos:broadMatch	MONDO:0013099	combined pituitary hormone deficiencies, genetic form	semapv:ManualMappingCuration
GARD:8417	skos:broadMatch	MONDO:0005086	renal cell carcinoma	semapv:ManualMappingCuration
GARD:8591	skos:broadMatch	MONDO:0018677	visceral heterotaxy	semapv:ManualMappingCuration
GARD:9907	skos:broadMatch	MONDO:0016367	dermatomyositis	semapv:ManualMappingCuration
GARD:1	skos:exactMatch	MONDO:0011308	GRACILE syndrome	semapv:ManualMappingCuration
GARD:10000	skos:exactMatch	MONDO:0011801	spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 1	semapv:ManualMappingCuration
GARD:10001	skos:exactMatch	MONDO:0008964	congenital secretory chloride diarrhea 1	semapv:ManualMappingCuration
GARD:10005	skos:exactMatch	MONDO:0019490	progressive familial heart block	semapv:ManualMappingCuration
GARD:10007	skos:exactMatch	MONDO:0010296	immunodeficiency 61	semapv:ManualMappingCuration
GARD:10009	skos:exactMatch	MONDO:0015247	opsoclonus-myoclonus syndrome	semapv:ManualMappingCuration
GARD:10010	skos:exactMatch	MONDO:0007548	transient bullous dermolysis of the newborn	semapv:ManualMappingCuration
GARD:10011	skos:exactMatch	MONDO:0012508	agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome	semapv:ManualMappingCuration
GARD:10012	skos:exactMatch	MONDO:0012504	camptodactyly-tall stature-scoliosis-hearing loss syndrome	semapv:ManualMappingCuration
GARD:10014	skos:exactMatch	MONDO:0019975	pellagra	semapv:ManualMappingCuration
GARD:10018	skos:exactMatch	MONDO:0005321	Fuchs' endothelial dystrophy	semapv:ManualMappingCuration
GARD:1002	skos:exactMatch	MONDO:0010539	X-linked mandibulofacial dysostosis	semapv:ManualMappingCuration
GARD:10023	skos:exactMatch	MONDO:0012217	Bruck syndrome 2	semapv:ManualMappingCuration
GARD:10024	skos:exactMatch	MONDO:0010197	whistling face syndrome, recessive form	semapv:ManualMappingCuration
GARD:10025	skos:exactMatch	MONDO:0019503	anterior segment dysgenesis	semapv:ManualMappingCuration
GARD:10027	skos:exactMatch	MONDO:0007251	campomelic dysplasia	semapv:ManualMappingCuration
GARD:10028	skos:exactMatch	MONDO:0009469	benign recurrent intrahepatic cholestasis type 1	semapv:ManualMappingCuration
GARD:10029	skos:exactMatch	MONDO:0011559	benign recurrent intrahepatic cholestasis type 2	semapv:ManualMappingCuration
GARD:10033	skos:exactMatch	MONDO:0012053	aneurysm, intracranial berry, 2	semapv:ManualMappingCuration
GARD:10034	skos:exactMatch	MONDO:0007384	congenital trigeminal anesthesia	semapv:ManualMappingCuration
GARD:10037	skos:exactMatch	MONDO:0011412	familial encephalopathy with neuroserpin inclusion bodies	semapv:ManualMappingCuration
GARD:10039	skos:exactMatch	MONDO:0009372	encephalopathy due to hydroxykynureninuria	semapv:ManualMappingCuration
GARD:10041	skos:exactMatch	MONDO:0012064	choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome	semapv:ManualMappingCuration
GARD:10043	skos:exactMatch	MONDO:0011186	Usher syndrome type 1F	semapv:ManualMappingCuration
GARD:10045	skos:exactMatch	MONDO:0009339	congenital bile acid synthesis defect 2	semapv:ManualMappingCuration
GARD:10046	skos:exactMatch	MONDO:0008967	congenital bile acid synthesis defect 4	semapv:ManualMappingCuration
GARD:10047	skos:exactMatch	MONDO:0017909	inherited glutathione synthetase deficiency	semapv:ManualMappingCuration
GARD:10048	skos:exactMatch	MONDO:0019211	isolated congenital anonychia	semapv:ManualMappingCuration
GARD:10049	skos:exactMatch	MONDO:0008982	central areolar choroidal dystrophy	semapv:ManualMappingCuration
GARD:10050	skos:exactMatch	MONDO:0008865	Bietti crystalline corneoretinal dystrophy	semapv:ManualMappingCuration
GARD:10051	skos:exactMatch	MONDO:0011334	limb-mammary syndrome	semapv:ManualMappingCuration
GARD:10053	skos:exactMatch	MONDO:0012296	lipomyelomeningocele	semapv:ManualMappingCuration
GARD:10054	skos:exactMatch	MONDO:0012282	Al-Gazali syndrome	semapv:ManualMappingCuration
GARD:10056	skos:exactMatch	MONDO:0012516	mandibulofacial dysostosis-microcephaly syndrome	semapv:ManualMappingCuration
GARD:10057	skos:exactMatch	MONDO:0012495	spondyloepimetaphyseal dysplasia, Genevieve type	semapv:ManualMappingCuration
GARD:10061	skos:exactMatch	MONDO:0012330	talo-patello-scaphoid osteolysis	semapv:ManualMappingCuration
