# creator_id: 0000-0002-2906-7319
# curie_map:
#   GARD: http://purl.obolibrary.org/obo/GARD_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   oboInOwl: http://www.geneontology.org/formats/oboInOwl#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: http://w3id.org/sssom/license/unspecified
subject_id	predicate_id	object_id	object_label	proxy_id	mondo_predicate_id
GARD:10007	skos:broadMatch	MONDO:0010421	Bruton-type agammaglobulinemia	Orphanet:47	skos:exactMatch
GARD:10023	skos:broadMatch	MONDO:0017195	Bruck syndrome	Orphanet:2771	skos:exactMatch
GARD:10024	skos:broadMatch	MONDO:0008675	Freeman-Sheldon syndrome	Orphanet:2053	skos:exactMatch
GARD:10033	skos:broadMatch	MONDO:0016483	intracranial berry aneurysm	Orphanet:231160	skos:exactMatch
GARD:10043	skos:broadMatch	MONDO:0010168	Usher syndrome type 1	Orphanet:231169	skos:exactMatch
GARD:10075	skos:broadMatch	MONDO:0015614	dermatitis herpetiformis	Orphanet:1656	skos:exactMatch
GARD:10090	skos:broadMatch	MONDO:0007251	campomelic dysplasia	Orphanet:140	skos:exactMatch
GARD:10095	skos:broadMatch	MONDO:0018925	familial or sporadic hemiplegic migraine	Orphanet:569	skos:exactMatch
GARD:10097	skos:broadMatch	MONDO:0010641	X-linked diffuse leiomyomatosis-Alport syndrome	Orphanet:1018	skos:exactMatch
GARD:10104	skos:broadMatch	MONDO:0009925	autosomal recessive inherited pseudoxanthoma elasticum	Orphanet:758	skos:exactMatch
GARD:10108	skos:broadMatch	MONDO:0020344	postsynaptic congenital myasthenic syndrome	Orphanet:98913	skos:exactMatch
GARD:10111	skos:broadMatch	MONDO:0015735	severe congenital nemaline myopathy	Orphanet:171430	skos:exactMatch
GARD:10111	skos:broadMatch	MONDO:0015736	intermediate nemaline myopathy	Orphanet:171433	skos:exactMatch
GARD:10111	skos:broadMatch	MONDO:0015737	typical nemaline myopathy	Orphanet:171436	skos:exactMatch
GARD:10111	skos:broadMatch	MONDO:0015738	childhood-onset nemaline myopathy	Orphanet:171439	skos:exactMatch
GARD:10119	skos:broadMatch	MONDO:0000455	cone dystrophy	Orphanet:1871	skos:exactMatch
GARD:10120	skos:broadMatch	MONDO:0011979	adult-onset foveomacular vitelliform dystrophy	Orphanet:99000	skos:exactMatch
GARD:10151	skos:broadMatch	MONDO:0018866	Aicardi-Goutieres syndrome	Orphanet:51	skos:exactMatch
GARD:10152	skos:broadMatch	MONDO:0008147	osteogenesis imperfecta type 2	Orphanet:216804	skos:exactMatch
GARD:10152	skos:broadMatch	MONDO:0009804	osteogenesis imperfecta type 3	Orphanet:216812	skos:exactMatch
GARD:10167	skos:broadMatch	MONDO:0009480	Joubert syndrome with oculorenal defect	Orphanet:2318	skos:exactMatch
GARD:10188	skos:broadMatch	MONDO:0019803	angioma serpiginosum	Orphanet:95429	skos:exactMatch
GARD:10189	skos:broadMatch	MONDO:0019803	angioma serpiginosum	Orphanet:95429	skos:exactMatch
GARD:10200	skos:broadMatch	MONDO:0014753	autosomal recessive optic atrophy	Orphanet:98676	skos:exactMatch
GARD:10201	skos:broadMatch	MONDO:0008134	autosomal dominant optic atrophy, classic form	Orphanet:98673	skos:exactMatch
GARD:10204	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10205	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10206	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10207	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10208	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10209	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10210	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10211	skos:broadMatch	MONDO:0015229	Bardet-Biedl syndrome	Orphanet:110	skos:exactMatch
GARD:10212	skos:broadMatch	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy	Orphanet:528	skos:exactMatch
GARD:10230	skos:broadMatch	MONDO:0020336	autosomal dominant Emery-Dreifuss muscular dystrophy	Orphanet:98853	skos:exactMatch
GARD:10241	skos:broadMatch	MONDO:0015253	Diamond-Blackfan anemia	Orphanet:124	skos:exactMatch
GARD:10281	skos:broadMatch	MONDO:0019187	Axenfeld-Rieger syndrome	Orphanet:782	skos:exactMatch
GARD:10320	skos:broadMatch	MONDO:0007380	lattice corneal dystrophy type I	Orphanet:98964	skos:exactMatch
GARD:10359	skos:broadMatch	MONDO:0009830	parkinsonian-pyramidal syndrome	Orphanet:171695	skos:exactMatch
GARD:10361	skos:broadMatch	MONDO:0015263	Brugada syndrome	Orphanet:130	skos:exactMatch
GARD:10362	skos:broadMatch	MONDO:0015263	Brugada syndrome	Orphanet:130	skos:exactMatch
GARD:10364	skos:broadMatch	MONDO:0002441	Jervell and Lange-Nielsen syndrome	Orphanet:90647	skos:exactMatch
GARD:10373	skos:broadMatch	MONDO:0011114	familial multiple trichoepithelioma	Orphanet:867	skos:exactMatch
GARD:10376	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10377	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10378	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10379	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10380	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10381	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10382	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10383	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10384	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10385	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10386	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10387	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10388	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10389	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10390	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10391	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10392	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10393	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10394	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10395	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10396	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10397	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10398	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
GARD:10400	skos:broadMatch	MONDO:0019200	retinitis pigmentosa	Orphanet:791	skos:exactMatch
